Date,Market,Crop,Price,Rainfall,Temperature
2023-03-16,Guntur,Rice,3923.0,3.48,18.63
2023-03-17,Guntur,Rice,3908.87,4.47,32.32
2023-03-18,Guntur,Rice,3905.15,1.74,35.62
2023-03-19,Guntur,Rice,3912.47,3.37,33.43
2023-03-20,Guntur,Rice,3934.75,3.42,20.88
2023-03-21,Guntur,Rice,3950.79,2.29,25.19
2023-03-22,Guntur,Rice,3976.79,0.51,29.16
2023-03-23,Guntur,Rice,3982.36,3.99,30.64
2023-03-24,Guntur,Rice,4003.84,3.96,32.52
2023-03-25,Guntur,Rice,4011.25,4.82,26.16
2023-03-26,Guntur,Rice,3993.68,2.73,26.39
2023-03-27,Guntur,Rice,4022.34,4.11,29.73
2023-03-28,Guntur,Rice,4038.51,3.05,28.28
2023-03-29,Guntur,Rice,4053.8,3.15,33.74
2023-03-30,Guntur,Rice,4006.23,3.38,25.62
2023-03-31,Guntur,Rice,4014.41,3.07,34.86
2023-04-01,Guntur,Rice,4048.94,1.54,34.08
2023-04-02,Guntur,Rice,4064.44,0.67,30.14
2023-04-03,Guntur,Rice,4039.02,3.57,22.16
2023-04-04,Guntur,Rice,4033.13,1.0,35.08
2023-04-05,Guntur,Rice,4044.13,4.91,21.86
2023-04-06,Guntur,Rice,4014.69,1.07,27.31
2023-04-07,Guntur,Rice,3990.67,4.92,24.61
2023-04-08,Guntur,Rice,3996.73,3.65,37.87
2023-04-09,Guntur,Rice,3968.65,4.43,25.19
2023-04-10,Guntur,Rice,3968.29,2.02,38.6
2023-04-11,Guntur,Rice,4001.76,0.67,20.82
2023-04-12,Guntur,Rice,4027.08,1.22,28.62
2023-04-13,Guntur,Rice,4058.75,4.4,30.16
2023-04-14,Guntur,Rice,4028.85,3.4,26.24
2023-04-15,Guntur,Rice,4062.27,3.52,23.18
2023-04-16,Guntur,Rice,4062.6,2.28,32.94
2023-04-17,Guntur,Rice,4047.97,1.97,36.14
2023-04-18,Guntur,Rice,4052.39,4.12,22.64
2023-04-19,Guntur,Rice,4076.71,4.2,26.71
2023-04-20,Guntur,Rice,4074.16,2.31,33.73
2023-04-21,Guntur,Rice,4115.08,4.75,28.64
2023-04-22,Guntur,Rice,4125.62,4.5,18.4
2023-04-23,Guntur,Rice,4130.78,2.76,32.87
2023-04-24,Guntur,Rice,4125.09,0.28,28.09
2023-04-25,Guntur,Rice,4156.25,1.44,26.0
2023-04-26,Guntur,Rice,4190.29,0.93,25.51
2023-04-27,Guntur,Rice,4198.38,3.05,21.49
2023-04-28,Guntur,Rice,4201.61,2.04,20.75
2023-04-29,Guntur,Rice,4220.0,3.94,25.24
2023-04-30,Guntur,Rice,4188.74,4.6,36.2
2023-05-01,Guntur,Rice,4183.17,3.44,37.94
2023-05-02,Guntur,Rice,4181.01,1.17,35.06
2023-05-03,Guntur,Rice,4195.22,4.46,20.59
2023-05-04,Guntur,Rice,4204.16,0.77,26.21
2023-05-05,Guntur,Rice,4204.18,4.75,18.53
2023-05-06,Guntur,Rice,4240.88,3.8,32.14
2023-05-07,Guntur,Rice,4242.63,4.31,25.59
2023-05-08,Guntur,Rice,4244.99,0.58,27.43
2023-05-09,Guntur,Rice,4268.57,0.51,26.96
2023-05-10,Guntur,Rice,4239.85,0.75,23.76
2023-05-11,Guntur,Rice,4220.28,4.57,31.25
2023-05-12,Guntur,Rice,4231.42,4.57,30.05
2023-05-13,Guntur,Rice,4212.49,0.34,23.99
2023-05-14,Guntur,Rice,4214.11,3.43,37.08
2023-05-15,Guntur,Rice,4217.13,0.8,22.72
2023-05-16,Guntur,Rice,4203.25,1.85,35.82
2023-05-17,Guntur,Rice,4176.22,3.67,27.91
2023-05-18,Guntur,Rice,4158.0,1.18,20.67
2023-05-19,Guntur,Rice,4160.76,0.23,21.1
2023-05-20,Guntur,Rice,4166.33,3.29,35.19
2023-05-21,Guntur,Rice,4157.33,0.22,27.03
2023-05-22,Guntur,Rice,4190.7,0.03,26.22
2023-05-23,Guntur,Rice,4202.86,2.32,25.42
2023-05-24,Guntur,Rice,4214.04,0.19,19.93
2023-05-25,Guntur,Rice,4195.54,3.25,36.95
2023-05-26,Guntur,Rice,4189.84,1.51,37.45
2023-05-27,Guntur,Rice,4225.48,3.17,22.34
2023-05-28,Guntur,Rice,4247.17,2.58,20.25
2023-05-29,Guntur,Rice,4227.75,0.07,39.09
2023-05-30,Guntur,Rice,4196.36,4.41,24.9
2023-05-31,Guntur,Rice,4201.62,2.91,35.23
2023-06-01,Guntur,Rice,4187.52,10.36,33.4
2023-06-02,Guntur,Rice,4183.35,5.1,31.29
2023-06-03,Guntur,Rice,4176.85,11.8,16.83
2023-06-04,Guntur,Rice,4194.51,7.48,35.73
2023-06-05,Guntur,Rice,4192.78,1.01,27.46
2023-06-06,Guntur,Rice,4195.06,16.27,13.33
2023-06-07,Guntur,Rice,4166.67,5.04,26.27
2023-06-08,Guntur,Rice,4178.42,6.81,31.67
2023-06-09,Guntur,Rice,4156.78,12.93,13.77
2023-06-10,Guntur,Rice,4170.56,13.32,24.93
2023-06-11,Guntur,Rice,4226.23,19.32,17.28
2023-06-12,Guntur,Rice,4242.53,5.33,24.61
2023-06-13,Guntur,Rice,4280.29,13.44,19.62
2023-06-14,Guntur,Rice,4275.09,2.24,33.6
2023-06-15,Guntur,Rice,4282.19,9.34,33.36
2023-06-16,Guntur,Rice,4299.88,0.17,32.19
2023-06-17,Guntur,Rice,4291.62,5.19,36.77
2023-06-18,Guntur,Rice,4313.87,3.14,19.81
2023-06-19,Guntur,Rice,4318.94,19.82,13.3
2023-06-20,Guntur,Rice,4330.23,2.55,31.64
2023-06-21,Guntur,Rice,4312.17,13.71,25.91
2023-06-22,Guntur,Rice,4314.09,2.27,34.21
2023-06-23,Guntur,Rice,4336.4,0.53,28.06
2023-06-24,Guntur,Rice,4333.7,13.74,29.24
2023-06-25,Guntur,Rice,4324.08,16.43,12.8
2023-06-26,Guntur,Rice,4352.21,7.59,27.98
2023-06-27,Guntur,Rice,4365.46,19.5,15.68
2023-06-28,Guntur,Rice,4372.81,13.19,28.72
2023-06-29,Guntur,Rice,4373.48,6.76,24.11
2023-06-30,Guntur,Rice,4380.58,18.92,20.96
2023-07-01,Guntur,Rice,4326.73,4.36,30.37
2023-07-02,Guntur,Rice,4340.95,7.16,16.87
2023-07-03,Guntur,Rice,4357.03,10.04,33.5
2023-07-04,Guntur,Rice,4333.18,4.24,35.26
2023-07-05,Guntur,Rice,4274.75,10.13,29.55
2023-07-06,Guntur,Rice,4298.51,16.99,18.37
2023-07-07,Guntur,Rice,4308.79,7.77,25.71
2023-07-08,Guntur,Rice,4391.68,12.37,28.78
2023-07-09,Guntur,Rice,4389.51,7.32,27.39
2023-07-10,Guntur,Rice,4385.93,18.87,19.32
2023-07-11,Guntur,Rice,4386.47,3.22,23.67
2023-07-12,Guntur,Rice,4412.23,11.42,14.9
2023-07-13,Guntur,Rice,4389.28,7.47,28.92
2023-07-14,Guntur,Rice,4389.38,5.46,29.07
2023-07-15,Guntur,Rice,4366.93,10.69,32.1
2023-07-16,Guntur,Rice,4347.41,6.46,24.34
2023-07-17,Guntur,Rice,4339.87,4.35,19.65
2023-07-18,Guntur,Rice,4335.04,9.64,21.89
2023-07-19,Guntur,Rice,4338.07,18.98,21.5
2023-07-20,Guntur,Rice,4320.53,9.85,28.59
2023-07-21,Guntur,Rice,4308.26,9.95,20.67
2023-07-22,Guntur,Rice,4293.08,5.44,21.32
2023-07-23,Guntur,Rice,4265.41,3.09,37.76
2023-07-24,Guntur,Rice,4247.23,5.66,35.0
2023-07-25,Guntur,Rice,4267.33,12.54,22.83
2023-07-26,Guntur,Rice,4283.81,5.08,29.14
2023-07-27,Guntur,Rice,4291.48,11.65,16.72
2023-07-28,Guntur,Rice,4342.51,11.49,33.74
2023-07-29,Guntur,Rice,4343.74,15.13,19.84
2023-07-30,Guntur,Rice,4321.17,18.23,26.71
2023-07-31,Guntur,Rice,4327.82,10.37,25.51
2023-08-01,Guntur,Rice,4353.59,19.39,16.8
2023-08-02,Guntur,Rice,4344.1,14.44,30.65
2023-08-03,Guntur,Rice,4354.57,2.71,24.04
2023-08-04,Guntur,Rice,4353.39,9.47,18.57
2023-08-05,Guntur,Rice,4349.83,11.63,33.66
2023-08-06,Guntur,Rice,4352.31,9.23,29.57
2023-08-07,Guntur,Rice,4337.08,8.82,17.86
2023-08-08,Guntur,Rice,4335.73,18.31,25.4
2023-08-09,Guntur,Rice,4302.78,1.62,20.56
2023-08-10,Guntur,Rice,4309.51,17.55,28.71
2023-08-11,Guntur,Rice,4311.94,11.77,32.25
2023-08-12,Guntur,Rice,4298.06,16.83,26.29
2023-08-13,Guntur,Rice,4296.43,5.72,26.99
2023-08-14,Guntur,Rice,4284.02,5.3,23.84
2023-08-15,Guntur,Rice,4259.69,4.22,18.28
2023-08-16,Guntur,Rice,4246.18,11.9,28.13
2023-08-17,Guntur,Rice,4201.77,12.3,16.28
2023-08-18,Guntur,Rice,4213.56,9.84,20.26
2023-08-19,Guntur,Rice,4201.58,4.66,33.72
2023-08-20,Guntur,Rice,4206.23,3.16,19.73
2023-08-21,Guntur,Rice,4218.73,7.14,28.07
2023-08-22,Guntur,Rice,4222.44,4.28,35.16
2023-08-23,Guntur,Rice,4222.17,8.19,31.96
2023-08-24,Guntur,Rice,4225.61,15.31,19.77
2023-08-25,Guntur,Rice,4215.42,4.47,20.1
2023-08-26,Guntur,Rice,4192.21,3.84,36.37
2023-08-27,Guntur,Rice,4148.0,14.13,27.77
2023-08-28,Guntur,Rice,4112.5,12.83,32.13
2023-08-29,Guntur,Rice,4109.95,8.6,19.32
2023-08-30,Guntur,Rice,4162.56,8.4,20.38
2023-08-31,Guntur,Rice,4146.59,7.3,17.41
2023-09-01,Guntur,Rice,4147.11,15.48,26.11
2023-09-02,Guntur,Rice,4136.4,17.87,20.5
2023-09-03,Guntur,Rice,4152.1,6.18,32.34
2023-09-04,Guntur,Rice,4167.97,16.17,21.67
2023-09-05,Guntur,Rice,4118.71,10.82,26.23
2023-09-06,Guntur,Rice,4131.89,14.4,32.64
2023-09-07,Guntur,Rice,4085.14,6.01,29.8
2023-09-08,Guntur,Rice,4097.54,0.14,26.57
2023-09-09,Guntur,Rice,4145.15,11.43,21.58
2023-09-10,Guntur,Rice,4127.18,19.15,16.61
2023-09-11,Guntur,Rice,4087.02,19.01,10.99
2023-09-12,Guntur,Rice,4085.1,2.03,26.93
2023-09-13,Guntur,Rice,4054.88,15.83,18.36
2023-09-14,Guntur,Rice,4039.81,2.82,36.44
2023-09-15,Guntur,Rice,4038.73,2.62,19.33
2023-09-16,Guntur,Rice,4019.04,8.37,17.63
2023-09-17,Guntur,Rice,4016.52,11.96,29.51
2023-09-18,Guntur,Rice,3982.73,0.73,39.09
2023-09-19,Guntur,Rice,3973.76,8.88,24.0
2023-09-20,Guntur,Rice,3982.69,10.96,15.97
2023-09-21,Guntur,Rice,3941.44,18.07,19.1
2023-09-22,Guntur,Rice,3934.17,18.17,15.18
2023-09-23,Guntur,Rice,3935.69,11.47,29.94
2023-09-24,Guntur,Rice,3946.29,5.7,36.3
2023-09-25,Guntur,Rice,3968.07,15.76,28.19
2023-09-26,Guntur,Rice,3987.44,8.13,16.72
2023-09-27,Guntur,Rice,3994.84,5.45,28.5
2023-09-28,Guntur,Rice,3988.51,13.36,32.33
2023-09-29,Guntur,Rice,4020.28,1.84,20.16
2023-09-30,Guntur,Rice,3988.32,12.66,16.82
2023-10-01,Guntur,Rice,3976.3,2.61,38.13
2023-10-02,Guntur,Rice,3974.74,2.32,24.7
2023-10-03,Guntur,Rice,3932.1,4.11,23.18
2023-10-04,Guntur,Rice,3936.73,2.11,28.25
2023-10-05,Guntur,Rice,3912.63,1.54,34.29
2023-10-06,Guntur,Rice,3928.47,2.84,18.75
2023-10-07,Guntur,Rice,3918.51,3.1,20.02
2023-10-08,Guntur,Rice,3897.78,1.96,35.76
2023-10-09,Guntur,Rice,3916.53,0.16,30.09
2023-10-10,Guntur,Rice,3939.19,4.17,35.16
2023-10-11,Guntur,Rice,3955.15,1.53,35.15
2023-10-12,Guntur,Rice,3955.59,2.42,27.97
2023-10-13,Guntur,Rice,3930.06,4.99,19.41
2023-10-14,Guntur,Rice,3927.16,3.7,27.58
2023-10-15,Guntur,Rice,3906.42,2.25,24.59
2023-10-16,Guntur,Rice,3926.26,3.53,37.42
2023-10-17,Guntur,Rice,3946.17,4.29,32.99
2023-10-18,Guntur,Rice,3984.37,1.97,38.64
2023-10-19,Guntur,Rice,3964.7,3.91,18.27
2023-10-20,Guntur,Rice,3990.59,1.33,26.27
2023-10-21,Guntur,Rice,3972.72,4.46,29.37
2023-10-22,Guntur,Rice,3981.12,0.03,29.16
2023-10-23,Guntur,Rice,3950.81,2.72,30.49
2023-10-24,Guntur,Rice,3953.74,2.63,35.08
2023-10-25,Guntur,Rice,3963.74,2.39,22.31
2023-10-26,Guntur,Rice,3923.75,2.12,38.53
2023-10-27,Guntur,Rice,3909.69,1.98,28.0
2023-10-28,Guntur,Rice,3941.04,1.23,39.03
2023-10-29,Guntur,Rice,3941.75,4.69,21.64
2023-10-30,Guntur,Rice,3926.56,2.1,33.14
2023-10-31,Guntur,Rice,3934.18,0.06,24.08
2023-11-01,Guntur,Rice,3958.94,2.89,19.26
2023-11-02,Guntur,Rice,3937.33,1.88,37.31
2023-11-03,Guntur,Rice,3940.3,1.7,23.04
2023-11-04,Guntur,Rice,3910.57,0.5,38.93
2023-11-05,Guntur,Rice,3918.32,2.52,25.14
2023-11-06,Guntur,Rice,3950.53,2.6,28.65
2023-11-07,Guntur,Rice,3953.23,3.87,30.47
2023-11-08,Guntur,Rice,3945.11,4.54,34.54
2023-11-09,Guntur,Rice,3945.4,2.36,29.94
2023-11-10,Guntur,Rice,3924.83,2.08,36.02
2023-11-11,Guntur,Rice,3885.15,1.64,24.54
2023-11-12,Guntur,Rice,3874.28,2.45,28.51
2023-11-13,Guntur,Rice,3862.86,1.5,35.83
2023-11-14,Guntur,Rice,3835.03,2.48,35.29
2023-11-15,Guntur,Rice,3831.3,3.26,26.78
2023-11-16,Guntur,Rice,3816.92,1.0,39.23
2023-11-17,Guntur,Rice,3826.29,4.93,36.72
2023-11-18,Guntur,Rice,3780.91,1.44,24.93
2023-11-19,Guntur,Rice,3766.63,4.04,32.27
2023-11-20,Guntur,Rice,3748.68,3.0,18.6
2023-11-21,Guntur,Rice,3746.52,0.62,21.55
2023-11-22,Guntur,Rice,3737.99,0.14,32.72
2023-11-23,Guntur,Rice,3768.24,0.06,34.89
2023-11-24,Guntur,Rice,3731.38,2.55,25.12
2023-11-25,Guntur,Rice,3727.16,2.18,38.4
2023-11-26,Guntur,Rice,3745.06,1.42,20.11
2023-11-27,Guntur,Rice,3717.54,0.68,34.44
2023-11-28,Guntur,Rice,3697.97,0.75,37.32
2023-11-29,Guntur,Rice,3679.93,0.17,36.37
2023-11-30,Guntur,Rice,3670.98,3.08,29.23
2023-12-01,Guntur,Rice,3678.86,2.44,25.61
2023-12-02,Guntur,Rice,3655.11,0.41,38.28
2023-12-03,Guntur,Rice,3637.39,4.98,25.14
2023-12-04,Guntur,Rice,3624.12,3.6,37.46
2023-12-05,Guntur,Rice,3622.96,2.46,29.88
2023-12-06,Guntur,Rice,3622.92,0.82,37.01
2023-12-07,Guntur,Rice,3625.88,0.77,28.42
2023-12-08,Guntur,Rice,3639.05,3.39,19.95
2023-12-09,Guntur,Rice,3625.74,4.49,33.75
2023-12-10,Guntur,Rice,3649.47,4.77,26.33
2023-12-11,Guntur,Rice,3677.9,1.62,25.28
2023-12-12,Guntur,Rice,3657.6,3.7,37.1
2023-12-13,Guntur,Rice,3653.56,0.25,22.25
2023-12-14,Guntur,Rice,3666.28,4.23,31.87
2023-12-15,Guntur,Rice,3678.54,1.94,30.36
2023-12-16,Guntur,Rice,3671.08,0.83,35.09
2023-12-17,Guntur,Rice,3669.07,2.02,21.82
2023-12-18,Guntur,Rice,3671.18,0.91,21.95
2023-12-19,Guntur,Rice,3696.87,4.47,22.57
2023-12-20,Guntur,Rice,3696.43,1.59,32.58
2023-12-21,Guntur,Rice,3700.42,4.39,27.32
2023-12-22,Guntur,Rice,3686.62,0.7,35.49
2023-12-23,Guntur,Rice,3674.18,1.31,25.73
2023-12-24,Guntur,Rice,3671.01,1.75,34.87
2023-12-25,Guntur,Rice,3653.86,3.33,20.31
2023-12-26,Guntur,Rice,3644.07,4.18,26.64
2023-12-27,Guntur,Rice,3631.95,3.17,26.82
2023-12-28,Guntur,Rice,3627.31,3.48,35.85
2023-12-29,Guntur,Rice,3598.82,0.49,34.42
2023-12-30,Guntur,Rice,3626.96,1.8,21.93
2023-12-31,Guntur,Rice,3648.55,3.87,18.55
2024-01-01,Guntur,Rice,3649.97,0.35,20.74
2024-01-02,Guntur,Rice,3660.64,3.75,29.29
2024-01-03,Guntur,Rice,3685.01,2.69,24.11
2024-01-04,Guntur,Rice,3712.57,2.29,24.24
2024-01-05,Guntur,Rice,3682.31,2.87,27.94
2024-01-06,Guntur,Rice,3664.61,2.87,38.55
2024-01-07,Guntur,Rice,3666.75,1.68,24.57
2024-01-08,Guntur,Rice,3715.17,2.2,28.87
2024-01-09,Guntur,Rice,3732.28,2.06,38.59
2024-01-10,Guntur,Rice,3766.65,4.91,36.41
2024-01-11,Guntur,Rice,3770.29,0.93,36.55
2024-01-12,Guntur,Rice,3784.03,4.45,35.9
2024-01-13,Guntur,Rice,3785.73,4.02,23.55
2024-01-14,Guntur,Rice,3807.14,2.52,29.75
2024-01-15,Guntur,Rice,3806.23,0.07,37.8
2024-01-16,Guntur,Rice,3833.72,0.34,31.8
2024-01-17,Guntur,Rice,3848.81,1.04,38.02
2024-01-18,Guntur,Rice,3857.32,2.24,22.24
2024-01-19,Guntur,Rice,3840.57,0.15,34.51
2024-01-20,Guntur,Rice,3858.46,3.61,37.49
2024-01-21,Guntur,Rice,3857.01,3.52,27.25
2024-01-22,Guntur,Rice,3886.11,1.13,38.16
2024-01-23,Guntur,Rice,3893.06,4.28,27.13
2024-01-24,Guntur,Rice,3910.62,1.26,20.92
2024-01-25,Guntur,Rice,3925.15,1.59,27.26
2024-01-26,Guntur,Rice,3890.21,1.16,22.23
2024-01-27,Guntur,Rice,3874.98,0.83,34.79
2024-01-28,Guntur,Rice,3889.77,0.52,39.58
2024-01-29,Guntur,Rice,3873.81,2.04,28.07
2024-01-30,Guntur,Rice,3882.82,2.39,31.42
2024-01-31,Guntur,Rice,3897.57,4.9,26.75
2024-02-01,Guntur,Rice,3895.1,1.48,30.32
2024-02-02,Guntur,Rice,3903.69,0.08,32.91
2024-02-03,Guntur,Rice,3937.81,2.78,35.38
2024-02-04,Guntur,Rice,3974.04,0.14,33.38
2024-02-05,Guntur,Rice,3948.27,4.89,26.73
2024-02-06,Guntur,Rice,3970.4,1.02,23.29
2024-02-07,Guntur,Rice,4000.22,3.97,18.42
2024-02-08,Guntur,Rice,3999.93,3.37,35.16
2024-02-09,Guntur,Rice,4003.66,3.91,19.43
2024-02-10,Guntur,Rice,4001.21,2.52,36.21
2024-02-11,Guntur,Rice,4031.86,4.84,34.58
2024-02-12,Guntur,Rice,4005.04,0.81,28.43
2024-02-13,Guntur,Rice,4025.59,3.0,27.58
2024-02-14,Guntur,Rice,4007.6,2.32,37.55
2024-02-15,Guntur,Rice,4005.23,1.48,29.28
2024-02-16,Guntur,Rice,3988.9,3.35,34.97
2024-02-17,Guntur,Rice,3978.28,0.98,20.73
2024-02-18,Guntur,Rice,3965.26,1.04,32.42
2024-02-19,Guntur,Rice,3951.69,3.2,28.11
2024-02-20,Guntur,Rice,3966.5,1.99,22.88
2024-02-21,Guntur,Rice,4007.33,3.98,28.94
2024-02-22,Guntur,Rice,4017.2,0.64,22.44
2024-02-23,Guntur,Rice,4040.09,2.64,32.31
2024-02-24,Guntur,Rice,4049.63,0.54,23.94
2024-02-25,Guntur,Rice,4061.23,1.33,38.68
2024-02-26,Guntur,Rice,4027.22,1.6,26.27
2024-02-27,Guntur,Rice,4035.98,2.01,24.45
2024-02-28,Guntur,Rice,4051.25,0.26,29.67
2024-02-29,Guntur,Rice,4058.32,2.52,22.53
2024-03-01,Guntur,Rice,4062.99,3.3,24.85
2024-03-02,Guntur,Rice,4079.61,4.7,31.96
2024-03-03,Guntur,Rice,4100.74,0.54,25.81
2024-03-04,Guntur,Rice,4093.21,0.02,33.29
2024-03-05,Guntur,Rice,4106.87,4.12,27.97
2024-03-06,Guntur,Rice,4110.18,3.39,29.52
2024-03-07,Guntur,Rice,4134.68,1.82,33.17
2024-03-08,Guntur,Rice,4150.46,2.81,25.67
2024-03-09,Guntur,Rice,4162.17,4.57,29.73
2024-03-10,Guntur,Rice,4188.6,4.87,29.42
2024-03-11,Guntur,Rice,4195.06,0.6,21.37
2024-03-12,Guntur,Rice,4193.0,2.21,36.86
2024-03-13,Guntur,Rice,4205.92,0.19,23.67
2024-03-14,Guntur,Rice,4201.82,3.97,18.44
2024-03-15,Guntur,Rice,4224.67,0.28,32.01
2024-03-16,Guntur,Rice,4222.96,2.86,26.65
2024-03-17,Guntur,Rice,4205.02,4.5,24.17
2024-03-18,Guntur,Rice,4208.45,4.94,29.65
2024-03-19,Guntur,Rice,4240.58,0.39,24.3
2024-03-20,Guntur,Rice,4239.89,4.94,18.25
2024-03-21,Guntur,Rice,4219.92,0.1,20.72
2024-03-22,Guntur,Rice,4232.3,2.39,32.82
2024-03-23,Guntur,Rice,4285.85,4.98,31.98
2024-03-24,Guntur,Rice,4293.06,3.13,34.28
2024-03-25,Guntur,Rice,4294.99,2.36,20.31
2024-03-26,Guntur,Rice,4312.94,0.82,21.96
2024-03-27,Guntur,Rice,4288.41,1.16,38.82
2024-03-28,Guntur,Rice,4299.14,2.05,29.53
2024-03-29,Guntur,Rice,4309.75,2.06,27.29
2024-03-30,Guntur,Rice,4300.65,1.0,33.16
2024-03-31,Guntur,Rice,4290.72,0.8,27.9
2024-04-01,Guntur,Rice,4277.24,0.2,31.34
2024-04-02,Guntur,Rice,4289.81,2.97,37.37
2024-04-03,Guntur,Rice,4302.63,4.18,32.86
2024-04-04,Guntur,Rice,4335.75,4.99,28.88
2024-04-05,Guntur,Rice,4357.63,3.45,30.3
2024-04-06,Guntur,Rice,4369.85,2.91,25.93
2024-04-07,Guntur,Rice,4380.41,4.72,37.43
2024-04-08,Guntur,Rice,4413.97,4.13,33.75
2024-04-09,Guntur,Rice,4489.63,2.33,21.18
2024-04-10,Guntur,Rice,4493.1,1.86,19.9
2024-04-11,Guntur,Rice,4502.68,0.04,28.93
2024-04-12,Guntur,Rice,4520.89,4.27,20.87
2024-04-13,Guntur,Rice,4519.34,4.81,20.63
2024-04-14,Guntur,Rice,4553.67,0.14,26.81
2024-04-15,Guntur,Rice,4562.2,1.12,28.07
2024-04-16,Guntur,Rice,4566.84,3.34,33.66
2024-04-17,Guntur,Rice,4589.73,0.43,24.29
2024-04-18,Guntur,Rice,4617.46,3.69,25.93
2024-04-19,Guntur,Rice,4634.9,3.32,19.37
2024-04-20,Guntur,Rice,4638.69,0.77,34.79
2024-04-21,Guntur,Rice,4638.93,3.44,21.79
2024-04-22,Guntur,Rice,4633.99,4.68,19.24
2024-04-23,Guntur,Rice,4656.68,4.29,19.3
2024-04-24,Guntur,Rice,4668.29,1.34,26.97
2024-04-25,Guntur,Rice,4691.16,3.18,35.47
